date,tag,count
2008-09-07,c#,8
2008-09-08,java,6
2008-09-08,c++,5
2008-09-08,javascript,9
2008-09-08,php,2
2008-09-08,html,25
2008-09-08,asp.net,2
2008-09-08,css,18
2008-09-08,c#,1
2008-09-09,asp.net,9
2008-09-09,python,8
2008-09-09,java,22
2008-09-09,c#,5
2008-09-09,php,4
2008-09-09,sql,5
2008-09-09,javascript,5
2008-09-09,c++,2
2008-09-09,c,6
2008-09-10,c++,5
2008-09-10,c#,20
2008-09-10,sql,5
2008-09-10,css,3
2008-09-10,asp.net,29
2008-09-10,mysql,3
2008-09-10,php,14
2008-09-10,c,2
2008-09-10,python,6
2008-09-10,java,5
2008-09-10,javascript,1
2008-09-11,c++,24
2008-09-11,mysql,8
2008-09-11,php,9
2008-09-11,c#,27
2008-09-11,c,21
2008-09-11,asp.net,10
2008-09-11,python,12
2008-09-11,html,1
2008-09-11,css,3
2008-09-11,sql,5
2008-09-11,java,2
2008-09-11,javascript,7
2008-09-12,php,6
2008-09-12,html,2
2008-09-12,mysql,1
2008-09-12,c++,18
2008-09-12,sql,20
2008-09-12,c#,39
2008-09-12,javascript,5
2008-09-12,asp.net,20
2008-09-12,c,6
2008-09-12,java,7
2008-09-12,python,2
2008-09-13,html,5
2008-09-13,javascript,7
2008-09-13,css,5
2008-09-13,jquery,7
2008-09-13,mysql,2
2008-09-13,python,3
2008-09-13,c#,11
2008-09-13,php,6
2008-09-13,c++,15
2008-09-13,java,3
2008-09-13,asp.net,7
2008-09-13,sql,4
2008-09-14,python,1
2008-09-14,c++,8
2008-09-14,java,9
2008-09-14,c#,16
2008-09-14,html,2
2008-09-14,css,10
2008-09-15,python,7
2008-09-15,asp.net,19
2008-09-15,css,2
2008-09-15,javascript,48
2008-09-15,c#,31
2008-09-15,php,36
2008-09-15,mysql,6
2008-09-15,sql,2
2008-09-15,html,42
2008-09-15,java,89
2008-09-15,jquery,3
2008-09-15,c++,23
2008-09-15,c,28
2008-09-16,python,23
2008-09-16,html,31
2008-09-16,css,28
2008-09-16,mysql,4
2008-09-16,c,41
2008-09-16,php,5
2008-09-16,sql,11
2008-09-16,c#,52
2008-09-16,javascript,23
2008-09-16,asp.net,30
2008-09-16,c++,59
2008-09-16,java,63
2008-09-16,jquery,4
2008-09-17,c++,50
2008-09-17,javascript,31
2008-09-17,c#,80
2008-09-17,asp.net,27
2008-09-17,css,3
2008-09-17,html,19
2008-09-17,c,16
2008-09-17,java,83
2008-09-17,mysql,17
2008-09-17,sql,16
2008-09-17,php,22
2008-09-17,python,37
2008-09-18,php,21
2008-09-18,c++,46
2008-09-18,c#,68
2008-09-18,javascript,11
2008-09-18,java,53
2008-09-18,jquery,10
2008-09-18,asp.net,37
2008-09-18,css,15
2008-09-18,html,12
2008-09-18,c,9
2008-09-18,python,49
2008-09-18,sql,27
2008-09-18,mysql,13
2008-09-19,jquery,2
2008-09-19,c,20
2008-09-19,asp.net,29
2008-09-19,javascript,18
2008-09-19,mysql,6
2008-09-19,html,23
2008-09-19,python,13
2008-09-19,c#,53
2008-09-19,java,45
2008-09-19,c++,32
2008-09-19,sql,43
2008-09-19,css,53
2008-09-19,php,22
2008-09-20,c++,4
2008-09-20,python,11
2008-09-20,asp.net,20
2008-09-20,javascript,1
2008-09-20,java,10
2008-09-20,php,10
2008-09-20,c#,19
2008-09-20,mysql,4
2008-09-20,html,1
2008-09-20,sql,4
2008-09-20,c,7
2008-09-21,javascript,10
2008-09-21,css,5
2008-09-21,java,13
2008-09-21,php,12
2008-09-21,sql,1
2008-09-21,html,2
2008-09-21,mysql,7
2008-09-21,python,4
2008-09-21,c++,4
2008-09-21,c#,6
2008-09-21,asp.net,7
2008-09-22,html,23
2008-09-22,php,16
2008-09-22,c,2
2008-09-22,css,7
2008-09-22,java,31
2008-09-22,c#,30
2008-09-22,jquery,5
2008-09-22,c++,50
2008-09-22,asp.net,17
2008-09-22,python,30
2008-09-22,javascript,41
2008-09-22,sql,9
2008-09-23,jquery,9
2008-09-23,java,26
2008-09-23,asp.net,11
2008-09-23,python,14
2008-09-23,html,13
2008-09-23,javascript,20
2008-09-23,c++,7
2008-09-23,c,10
2008-09-23,sql,16
2008-09-23,c#,10
2008-09-23,mysql,8
2008-09-23,php,11
2008-09-23,css,10
2008-09-24,c++,35
2008-09-24,html,2
2008-09-24,c,12
2008-09-24,jquery,11
2008-09-24,sql,12
2008-09-24,asp.net,20
2008-09-24,python,2
2008-09-24,mysql,8
2008-09-24,css,1
2008-09-24,php,20
2008-09-24,c#,45
2008-09-24,javascript,16
2008-09-24,java,11
2008-09-25,javascript,6
2008-09-25,java,33
2008-09-25,c#,60
2008-09-25,jquery,6
2008-09-25,python,4
2008-09-25,mysql,2
2008-09-25,sql,19
2008-09-25,c++,16
2008-09-25,asp.net,25
2008-09-26,sql,24
2008-09-26,asp.net,25
2008-09-26,jquery,4
2008-09-26,php,18
2008-09-26,java,39
2008-09-26,c#,56
2008-09-26,c++,19
2008-09-26,python,17
2008-09-26,mysql,9
2008-09-26,html,12
2008-09-26,c,7
2008-09-26,javascript,25
2008-09-27,python,1
2008-09-27,sql,4
2008-09-27,c#,20
2008-09-27,c++,9
2008-09-27,c,1
2008-09-27,asp.net,8
2008-09-27,mysql,7
2008-09-27,java,9
2008-09-27,php,6
2008-09-28,jquery,10
2008-09-28,java,25
2008-09-28,mysql,1
2008-09-28,c,13
2008-09-28,html,7
2008-09-28,c#,25
2008-09-28,c++,37
2008-09-28,php,1
2008-09-28,asp.net,5
2008-09-28,javascript,14
2008-09-28,android,4
2008-09-28,python,9
2008-09-29,asp.net,29
2008-09-29,mysql,25
2008-09-29,python,8
2008-09-29,c,14
2008-09-29,jquery,13
2008-09-29,c++,31
2008-09-29,php,5
2008-09-29,sql,33
2008-09-29,c#,21
2008-09-29,css,8
2008-09-29,java,28
2008-09-29,html,2
2008-09-30,asp.net,2
2008-09-30,c++,14
2008-09-30,javascript,2
2008-09-30,c#,71
2008-09-30,html,3
2008-09-30,c,19
2008-09-30,java,21
2008-09-30,css,1
2008-09-30,python,6
2008-09-30,php,11
2008-09-30,sql,20
2008-09-30,mysql,2
2008-10-01,java,12
2008-10-01,c#,20
2008-10-01,sql,4
2008-10-01,css,13
2008-10-01,javascript,19
2008-10-01,html,4
2008-10-01,c++,12
2008-10-01,c,9
2008-10-01,python,21
2008-10-01,asp.net,16
2008-10-01,jquery,3
2008-10-01,php,10
2008-10-02,python,6
2008-10-02,c#,24
2008-10-02,css,13
2008-10-02,html,17
2008-10-02,asp.net,21
2008-10-02,php,5
2008-10-02,c++,22
2008-10-02,mysql,5
2008-10-02,c,33
2008-10-02,java,17
2008-10-02,javascript,31
2008-10-02,jquery,12
2008-10-02,sql,10
2008-10-03,javascript,2
2008-10-03,css,5
2008-10-03,jquery,9
2008-10-03,c#,31
2008-10-03,html,21
2008-10-03,php,11
2008-10-03,python,9
2008-10-03,asp.net,9
2008-10-03,mysql,1
2008-10-03,c,3
2008-10-03,java,18
2008-10-03,sql,1
2008-10-03,c++,5
2008-10-04,c++,5
2008-10-04,jquery,9
2008-10-04,mysql,11
2008-10-04,c,9
2008-10-04,c#,17
2008-10-04,javascript,8
2008-10-04,asp.net,10
2008-10-04,java,11
2008-10-04,sql,5
2008-10-04,php,12
2008-10-04,python,4
2008-10-05,c++,2
2008-10-05,java,4
2008-10-05,asp.net,5
2008-10-05,jquery,2
2008-10-05,html,1
2008-10-05,mysql,4
2008-10-05,php,3
2008-10-05,css,1
2008-10-05,javascript,9
2008-10-05,python,17
2008-10-05,c#,27
2008-10-05,c,2
2008-10-06,asp.net,6
2008-10-06,python,23
2008-10-06,c#,28
2008-10-06,html,2
2008-10-06,php,14
2008-10-06,c++,25
2008-10-06,java,24
2008-10-06,c,6
2008-10-06,javascript,10
2008-10-07,python,5
2008-10-07,css,3
2008-10-07,java,36
2008-10-07,php,6
2008-10-07,sql,14
2008-10-07,c,19
2008-10-07,c#,43
2008-10-07,asp.net,30
2008-10-07,jquery,3
2008-10-07,c++,36
2008-10-07,javascript,1
2008-10-07,mysql,3
2008-10-08,python,15
2008-10-08,java,30
2008-10-08,c++,28
2008-10-08,mysql,3
2008-10-08,css,7
2008-10-08,c,20
2008-10-08,asp.net,28
2008-10-08,c#,38
2008-10-08,javascript,10
2008-10-08,jquery,5
2008-10-08,html,3
2008-10-08,php,17
2008-10-08,sql,12
2008-10-09,c++,17
2008-10-09,c#,39
2008-10-09,php,5
2008-10-09,asp.net,16
2008-10-09,java,11
2008-10-09,c,7
2008-10-09,mysql,7
2008-10-09,css,1
2008-10-09,sql,20
2008-10-09,python,2
2008-10-09,html,4
2008-10-09,javascript,20
2008-10-10,c++,13
2008-10-10,python,10
2008-10-10,jquery,4
2008-10-10,java,24
2008-10-10,sql,26
2008-10-10,c#,27
2008-10-10,asp.net,5
2008-10-10,c,4
2008-10-10,javascript,22
2008-10-10,php,17
2008-10-10,css,4
2008-10-10,html,22
2008-10-11,asp.net,2
2008-10-11,sql,4
2008-10-11,c#,5
2008-10-11,c,8
2008-10-11,c++,1
2008-10-11,javascript,18
2008-10-11,java,5
2008-10-11,html,1
2008-10-11,mysql,3
2008-10-11,jquery,9
2008-10-12,c#,11
2008-10-12,jquery,1
2008-10-12,sql,1
2008-10-12,mysql,1
2008-10-12,java,10
2008-10-12,javascript,5
2008-10-12,c++,1
2008-10-12,html,9
2008-10-12,asp.net,4
2008-10-13,sql,11
2008-10-13,javascript,15
2008-10-13,php,13
2008-10-13,jquery,5
2008-10-13,java,33
2008-10-13,html,1
2008-10-13,mysql,5
2008-10-13,c#,46
2008-10-13,python,10
2008-10-13,c,8
2008-10-13,asp.net,12
2008-10-13,c++,11
2008-10-14,c++,22
2008-10-14,javascript,13
2008-10-14,c#,62
2008-10-14,python,12
2008-10-14,jquery,9
2008-10-14,sql,19
2008-10-14,php,25
2008-10-14,mysql,6
2008-10-14,asp.net,15
2008-10-14,java,22
2008-10-14,css,12
2008-10-14,html,11
2008-10-14,c,7
2008-10-15,asp.net,30
2008-10-15,c#,43
2008-10-15,javascript,18
2008-10-15,c++,19
2008-10-15,css,8
2008-10-15,mysql,12
2008-10-15,sql,24
2008-10-15,python,5
2008-10-15,html,16
2008-10-15,php,5
2008-10-15,jquery,8
2008-10-15,java,14
2008-10-16,python,32
2008-10-16,php,1
2008-10-16,c++,10
2008-10-16,asp.net,15
2008-10-16,html,11
2008-10-16,c,16
2008-10-16,mysql,2
2008-10-16,css,14
2008-10-16,jquery,2
2008-10-16,javascript,19
2008-10-16,c#,37
2008-10-16,java,1
2008-10-16,sql,21
2008-10-17,jquery,1
2008-10-17,c++,16
2008-10-17,javascript,7
2008-10-17,c#,23
2008-10-17,html,6
2008-10-17,python,8
2008-10-17,c,9
2008-10-17,sql,5
2008-10-17,php,3
2008-10-17,java,12
2008-10-17,asp.net,3
2008-10-17,css,4
2008-10-18,c#,13
2008-10-18,asp.net,5
2008-10-18,c++,29
2008-10-18,jquery,3
2008-10-18,javascript,6
2008-10-18,java,1
2008-10-18,python,4
2008-10-19,sql,2
2008-10-19,c++,9
2008-10-19,java,9
2008-10-19,javascript,3
2008-10-19,php,4
2008-10-19,c,6
2008-10-19,python,5
2008-10-19,c#,4
2008-10-19,asp.net,10
2008-10-20,c++,31
2008-10-20,css,4
2008-10-20,javascript,1
2008-10-20,php,15
2008-10-20,sql,6
2008-10-20,java,11
2008-10-20,python,6
2008-10-20,c#,48
2008-10-20,ios,2
2008-10-20,html,5
2008-10-20,asp.net,5
2008-10-21,sql,3
2008-10-21,javascript,16
2008-10-21,jquery,1
2008-10-21,html,11
2008-10-21,mysql,6
2008-10-21,python,5
2008-10-21,c,8
2008-10-21,java,22
2008-10-21,asp.net,29
2008-10-21,c#,53
2008-10-21,c++,15
2008-10-21,php,22
2008-10-22,c#,34
2008-10-22,javascript,24
2008-10-22,java,21
2008-10-22,c++,14
2008-10-22,c,2
2008-10-22,mysql,9
2008-10-22,html,15
2008-10-22,jquery,9
2008-10-22,css,1
2008-10-22,php,10
2008-10-22,sql,8
2008-10-22,python,14
2008-10-22,asp.net,11
2008-10-23,javascript,10
2008-10-23,php,15
2008-10-23,java,10
2008-10-23,c++,17
2008-10-23,jquery,6
2008-10-23,html,3
2008-10-23,python,9
2008-10-23,c#,15
2008-10-23,mysql,3
2008-10-23,c,8
2008-10-23,asp.net,10
2008-10-24,javascript,10
2008-10-24,c#,28
2008-10-24,c++,8
2008-10-24,sql,7
2008-10-24,java,20
2008-10-24,asp.net,12
2008-10-24,mysql,2
2008-10-24,c,1
2008-10-24,php,8
2008-10-24,html,5
2008-10-24,python,7
2008-10-25,c#,8
2008-10-25,c++,2
2008-10-25,asp.net,3
2008-10-25,java,6
2008-10-25,css,4
2008-10-25,sql,3
2008-10-25,html,4
2008-10-25,php,5
2008-10-26,c++,9
2008-10-26,javascript,5
2008-10-26,php,4
2008-10-26,ios,1
2008-10-26,python,3
2008-10-26,java,3
2008-10-26,c#,14
2008-10-26,mysql,8
2008-10-27,mysql,6
2008-10-27,ios,2
2008-10-27,sql,6
2008-10-27,jquery,6
2008-10-27,c++,2
2008-10-27,html,5
2008-10-27,c#,19
2008-10-27,python,7
2008-10-27,java,34
2008-10-27,php,12
2008-10-27,javascript,6
2008-10-27,asp.net,19
2008-10-28,sql,12
2008-10-28,asp.net,16
2008-10-28,php,15
2008-10-28,javascript,2
2008-10-28,c++,2
2008-10-28,java,10
2008-10-28,c#,32
2008-10-28,python,7
2008-10-28,jquery,1
2008-10-28,c,12
2008-10-28,mysql,10
2008-10-29,asp.net,29
2008-10-29,jquery,4
2008-10-29,javascript,12
2008-10-29,html,3
2008-10-29,c++,20
2008-10-29,java,7
2008-10-29,sql,13
2008-10-29,php,7
2008-10-29,python,15
2008-10-29,css,5
2008-10-29,c,21
2008-10-29,c#,24
2008-10-30,sql,10
2008-10-30,c#,20
2008-10-30,java,16
2008-10-30,javascript,20
2008-10-30,python,14
2008-10-30,html,9
2008-10-30,css,11
2008-10-30,asp.net,19
2008-10-30,c,9
2008-10-30,php,2
2008-10-30,c++,8
2008-10-31,c++,9
2008-10-31,asp.net,5
2008-10-31,c#,15
2008-10-31,jquery,4
2008-10-31,c,6
2008-10-31,php,3
2008-10-31,css,2
2008-10-31,mysql,2
2008-10-31,html,8
2008-10-31,python,10
2008-10-31,sql,16
2008-10-31,java,14
2008-10-31,javascript,12
2008-11-01,c#,7
2008-11-01,javascript,4
2008-11-01,php,6
2008-11-01,java,4
2008-11-01,python,4
2008-11-01,c++,3
2008-11-01,mysql,1
2008-11-01,c,3
2008-11-01,html,5
2008-11-02,mysql,4
2008-11-02,php,9
2008-11-02,c++,7
2008-11-02,jquery,1
2008-11-02,html,2
2008-11-02,java,6
2008-11-02,ios,2
2008-11-02,sql,2
2008-11-02,c,1
2008-11-02,css,3
2008-11-03,c,1
2008-11-03,javascript,11
2008-11-03,c#,29
2008-11-03,c++,13
2008-11-03,sql,10
2008-11-03,java,15
2008-11-03,ios,1
2008-11-03,asp.net,10
2008-11-03,python,12
2008-11-03,css,10
2008-11-03,jquery,7
2008-11-03,html,14
2008-11-03,php,6
2008-11-04,css,4
2008-11-04,php,9
2008-11-04,sql,11
2008-11-04,c,5
2008-11-04,c#,31
2008-11-04,javascript,12
2008-11-04,html,12
2008-11-04,asp.net,23
2008-11-04,c++,29
2008-11-04,jquery,2
2008-11-04,java,10
2008-11-04,python,22
2008-11-05,jquery,1
2008-11-05,html,14
2008-11-05,mysql,4
2008-11-05,php,17
2008-11-05,c++,13
2008-11-05,java,26
2008-11-05,css,7
2008-11-05,python,11
2008-11-05,c#,15
2008-11-05,asp.net,13
2008-11-05,c,13
2008-11-05,javascript,6
2008-11-05,sql,5
2008-11-06,sql,17
2008-11-06,asp.net,25
2008-11-06,php,4
2008-11-06,c++,14
2008-11-06,c#,34
2008-11-06,python,13
2008-11-06,javascript,16
2008-11-06,html,14
2008-11-06,mysql,5
2008-11-06,java,24
2008-11-06,css,6
2008-11-06,jquery,8
2008-11-06,c,8
2008-11-07,css,6
2008-11-07,html,13
2008-11-07,c,9
2008-11-07,sql,31
2008-11-07,c++,23
2008-11-07,javascript,2
2008-11-07,java,31
2008-11-07,php,8
2008-11-07,asp.net,7
2008-11-07,c#,38
2008-11-07,python,5
2008-11-07,mysql,8
2008-11-08,html,4
2008-11-08,css,2
2008-11-08,php,12
2008-11-08,c,1
2008-11-08,sql,1
2008-11-08,java,16
2008-11-08,python,1
2008-11-08,c#,4
2008-11-08,asp.net,4
2008-11-08,c++,7
2008-11-08,javascript,4
2008-11-09,javascript,5
2008-11-09,python,5
2008-11-09,html,2
2008-11-09,asp.net,4
2008-11-09,jquery,1
2008-11-09,java,7
2008-11-09,php,17
2008-11-09,c++,3
2008-11-09,sql,1
2008-11-10,java,8
2008-11-10,python,7
2008-11-10,html,1
2008-11-10,css,4
2008-11-10,c#,27
2008-11-10,php,15
2008-11-10,sql,10
2008-11-10,asp.net,30
2008-11-10,c,1
2008-11-10,mysql,15
2008-11-10,javascript,4
2008-11-10,jquery,6
2008-11-10,c++,3
2008-11-11,php,6
2008-11-11,asp.net,3
2008-11-11,java,18
2008-11-11,python,3
2008-11-11,javascript,3
2008-11-11,c#,29
2008-11-11,c++,14
2008-11-11,sql,9
2008-11-11,c,11
2008-11-11,html,3
2008-11-12,asp.net,22
2008-11-12,c#,37
2008-11-12,javascript,3
2008-11-12,c++,19
2008-11-12,python,1
2008-11-12,mysql,8
2008-11-12,html,2
2008-11-12,php,7
2008-11-12,c,6
2008-11-12,java,11
2008-11-13,mysql,11
2008-11-13,php,6
2008-11-13,asp.net,23
2008-11-13,c#,23
2008-11-13,sql,11
2008-11-13,python,9
2008-11-13,c++,4
2008-11-13,html,17
2008-11-13,javascript,16
2008-11-13,c,3
2008-11-13,java,28
2008-11-14,jquery,11
2008-11-14,c#,26
2008-11-14,java,14
2008-11-14,sql,9
2008-11-14,mysql,13
2008-11-14,javascript,3
2008-11-14,php,8
2008-11-14,python,6
2008-11-14,c,6
2008-11-14,css,1
2008-11-14,asp.net,19
2008-11-14,html,10
2008-11-14,c++,1
2008-11-15,python,2
2008-11-15,css,7
2008-11-15,jquery,1
2008-11-15,javascript,1
2008-11-15,c#,13
2008-11-15,asp.net,12
2008-11-15,mysql,7
2008-11-15,php,5
2008-11-15,sql,3
2008-11-15,c++,7
2008-11-15,java,13
2008-11-15,c,2
2008-11-16,c,6
2008-11-16,jquery,4
2008-11-16,asp.net,1
2008-11-16,java,1
2008-11-16,html,5
2008-11-16,c#,8
2008-11-16,python,13
2008-11-16,sql,4
2008-11-16,javascript,7
2008-11-16,css,3
2008-11-16,mysql,1
2008-11-16,c++,14
2008-11-17,python,24
2008-11-17,sql,2
2008-11-17,php,7
2008-11-17,mysql,3
2008-11-17,html,3
2008-11-17,css,8
2008-11-17,javascript,12
2008-11-17,java,19
2008-11-17,c#,39
2008-11-17,c++,12
2008-11-17,jquery,1
2008-11-17,asp.net,7
2008-11-18,php,9
2008-11-18,java,10
2008-11-18,sql,10
2008-11-18,python,1
2008-11-18,asp.net,15
2008-11-18,c,4
2008-11-18,mysql,1
2008-11-18,html,19
2008-11-18,javascript,17
2008-11-18,c++,2
2008-11-18,css,15
2008-11-18,jquery,7
2008-11-18,c#,23
2008-11-19,javascript,13
2008-11-19,c#,35
2008-11-19,c++,6
2008-11-19,python,5
2008-11-19,jquery,2
2008-11-19,asp.net,30
2008-11-19,php,13
2008-11-19,html,2
2008-11-19,mysql,1
2008-11-19,java,4
2008-11-19,css,6
2008-11-19,sql,5
2008-11-20,c#,21
2008-11-20,java,23
2008-11-20,python,8
2008-11-20,html,3
2008-11-20,javascript,15
2008-11-20,c++,10
2008-11-20,sql,11
2008-11-20,jquery,1
2008-11-20,php,11
2008-11-20,asp.net,15
2008-11-21,jquery,2
2008-11-21,css,2
2008-11-21,php,5
2008-11-21,c++,30
2008-11-21,c,7
2008-11-21,html,3
2008-11-21,asp.net,9
2008-11-21,c#,14
2008-11-21,java,14
2008-11-21,sql,12
2008-11-21,javascript,9
2008-11-21,python,3
2008-11-22,c#,18
2008-11-22,c++,2
2008-11-22,php,8
2008-11-22,javascript,8
2008-11-22,asp.net,4
2008-11-22,mysql,2
2008-11-22,c,1
2008-11-22,jquery,1
2008-11-22,python,3
2008-11-22,css,2
2008-11-23,c#,7
2008-11-23,asp.net,5
2008-11-23,html,3
2008-11-23,jquery,9
2008-11-23,javascript,1
2008-11-23,css,3
2008-11-23,c++,14
2008-11-23,php,7
2008-11-23,java,1
2008-11-23,mysql,5
2008-11-23,c,17
2008-11-24,java,38
2008-11-24,javascript,13
2008-11-24,asp.net,10
2008-11-24,c#,20
2008-11-24,html,1
2008-11-24,jquery,2
2008-11-24,css,2
2008-11-24,php,6
2008-11-24,c++,6
2008-11-24,c,3
2008-11-25,c++,39
2008-11-25,sql,6
2008-11-25,javascript,15
2008-11-25,c#,34
2008-11-25,php,8
2008-11-25,html,3
2008-11-25,java,4
2008-11-25,c,3
2008-11-25,jquery,6
2008-11-25,mysql,3
2008-11-25,python,10
2008-11-25,asp.net,12
2008-11-26,html,1
2008-11-26,java,37
2008-11-26,asp.net,7
2008-11-26,sql,5
2008-11-26,jquery,2
2008-11-26,c,6
2008-11-26,c++,13
2008-11-26,python,1
2008-11-26,mysql,2
2008-11-26,c#,29
2008-11-26,php,6
2008-11-27,c#,13
2008-11-27,python,8
2008-11-27,asp.net,5
2008-11-27,java,7
2008-11-27,php,5
2008-11-27,javascript,5
2008-11-27,c++,3
2008-11-28,c,1
2008-11-28,python,9
2008-11-28,jquery,8
2008-11-28,asp.net,8
2008-11-28,java,23
2008-11-28,c#,17
2008-11-28,css,1
2008-11-28,c++,2
2008-11-28,php,2
2008-11-28,javascript,2
2008-11-28,sql,7
2008-11-29,javascript,5
2008-11-29,c,3
2008-11-29,mysql,6
2008-11-29,python,3
2008-11-29,c#,9
2008-11-29,sql,9
2008-11-29,c++,9
2008-11-29,php,7
2008-11-29,css,2
2008-11-29,asp.net,8
